2025-10-21->00:05 | 00:05:01  
2025-10-21->00:05 | 00:05:12 ...... buscando en directorio 0800 - CMAC Metropolitana
2025-10-21->00:05 | 00:05:13 ......... sin archivos a procesar.
2025-10-21->00:05 | 00:05:13 ...... buscando en directorio 0801 - CMAC Piura
2025-10-21->00:05 | 00:05:13 ......... sin archivos a procesar.
2025-10-21->00:05 | 00:05:13 ...... buscando en directorio 0802 - CMAC Trujillo
2025-10-21->00:05 | 00:05:14 ......... sin archivos a procesar.
2025-10-21->00:05 | 00:05:14 ...... buscando en directorio 0803 - CMAC Arequipa
2025-10-21->00:05 | 00:05:14 ......... sin archivos a procesar.
2025-10-21->00:05 | 00:05:14 ...... buscando en directorio 0805 - CMAC Sullana
2025-10-21->00:05 | 00:05:15 ......... sin archivos a procesar.
2025-10-21->00:05 | 00:05:15 ...... buscando en directorio 0806 - CMAC Cuzco
2025-10-21->00:05 | 00:05:15 ......... sin archivos a procesar.
2025-10-21->00:05 | 00:05:15 ...... buscando en directorio 0808 - CMAC Huancayo
2025-10-21->00:05 | 00:05:16 ......... sin archivos a procesar.
2025-10-21->00:05 | 00:05:16 ...... buscando en directorio 0809 - CMAC Ica
2025-10-21->00:05 | 00:05:16 ......... sin archivos a procesar.
2025-10-21->00:05 | 00:05:16 ...... buscando en directorio 0813 - CMAC Tacna
2025-10-21->00:05 | 00:05:16 ......... sin archivos a procesar.
2025-10-21->00:05 | 00:05:16 ...... buscando en directorio 0849 - CMAC Los andes
2025-10-21->00:05 | 00:05:17 ......... sin archivos a procesar.
2025-10-21->00:05 | 00:05:17 ...... buscando en directorio 0910 - Coop Abaco
2025-10-21->00:05 | 00:05:17 ......... sin archivos a procesar.
2025-10-21->00:05 | 00:05:17 ...... buscando en directorio 0921 - Tarjetas Peruanas
2025-10-21->00:05 | 00:05:18 ......... sin archivos a procesar.
2025-10-21->00:05 | 00:05:18 ...... buscando en directorio 0922 - GMoney
2025-10-21->00:05 | 00:05:18 ......... sin archivos a procesar.
2025-10-21->00:05 | 00:05:18 ... 
2025-10-21->00:05 | 00:05:18 ... procesando los archivos ctl encontrados
2025-10-21->00:05 | 00:05:18 ...... no existen archivos para descargar.
2025-10-21->00:05 | 00:05:18  
2025-10-21->00:05 | 00:05:18 Procesamiento de Archivos
2025-10-21->00:05 | 00:05:18 -------------------------
