ID Gestor de Directorio;ID Proveedor de Directorio;Cantidad de Consultas Exitosas;Cantidad de Consultas Fallidas;Cantidad de Consultas Fallidas (Error Conexion);Cantidad de Consultas que alcanzaron el time-out;Cantidad de incidentes Tipo 1 alertados;Cantidad de incidentes Tipo 2 alertados;Tiempo de No Disponibilidad detectado;Funcionalidad Especifica
5400;5400;380;0;0;0;A SER LLENADO POR OPERACIONES;A SER LLENADO POR OPERACIONES;A SER LLENADO POR OPERACIONES;Barrido
5400;0901;538;20;0;5;A SER LLENADO POR OPERACIONES;A SER LLENADO POR OPERACIONES;A SER LLENADO POR OPERACIONES;LookUp
5400;6072;24;4;0;0;A SER LLENADO POR OPERACIONES;A SER LLENADO POR OPERACIONES;A SER LLENADO POR OPERACIONES;LookUp
5400;5400;197;12;0;0;A SER LLENADO POR OPERACIONES;A SER LLENADO POR OPERACIONES;A SER LLENADO POR OPERACIONES;LookUp
5400;5500;0;0;0;1;A SER LLENADO POR OPERACIONES;A SER LLENADO POR OPERACIONES;A SER LLENADO POR OPERACIONES;LookUp
5400;0901;4;1;0;0;A SER LLENADO POR OPERACIONES;A SER LLENADO POR OPERACIONES;A SER LLENADO POR OPERACIONES;LookUpQR
5400;6072;1;0;0;0;A SER LLENADO POR OPERACIONES;A SER LLENADO POR OPERACIONES;A SER LLENADO POR OPERACIONES;LookUpQR
